Date,Close,High,Low,Open,Volume,MA_7,MA_21,Return,Volatility,Momentum,RSI,MACD,Signal,Target,Stock
2025-04-22,198.87322998046875,200.7151927551101,195.1195857124949,195.26892870764283,52976400.0,197.27732413155692,203.80933343796502,0.034064976668916724,0.028927934481373832,18.200668334960938,-206.90814626017044,-5.863715708594782,-6.1659886388393,203.71212768554688,AAPL
2025-04-23,203.71212768554688,207.0973670311424,201.9199358938783,205.1060461943045,52929200.0,198.19475446428572,203.04457092285156,0.02433156893742483,0.0263367787934605,32.04034423828125,-273.0944685962703,-4.963010648200822,-5.925393040711604,207.4657745361328,AAPL
2025-04-24,207.4657745361328,207.92378505310097,202.0593452871763,204.00088023313933,47311000.0,199.02684456961495,202.31536792573473,0.01842623163005852,0.025975854178306383,9.478683471679688,1089.7684340079877,-3.9013353034214617,-5.520581493253577,208.371826171875,AAPL
2025-04-25,208.371826171875,208.8397878176709,205.30519003897632,205.4744504992001,38222300.0,200.04241725376673,201.7345660981678,0.004367234247518725,0.025832542593389483,18.778152465820312,274.44984700353484,-2.9528010959319886,-5.007025413789259,209.2281036376953,AAPL
2025-04-28,209.2281036376953,210.5822025692478,206.55974070372147,209.08871177088437,38743100.0,202.29972185407365,201.08454241071428,0.004109372565147096,0.017260748609821106,11.93798828125,202.99847815771577,-2.107690325315758,-4.427158396094559,210.29345703125,AAPL
2025-04-29,210.29345703125,211.31898611202763,207.46576971677675,207.784388363366,36827600.0,204.3237588065011,200.76735360281808,0.005091827412437189,0.017367724035881327,8.652313232421932,152.84855261130485,-1.3365617833207466,-3.8090390735397968,211.57785034179688,AAPL
2025-04-30,211.57785034179688,212.65316547487808,205.7731479657814,208.39173986928208,52286500.0,207.07462419782365,200.3107721237909,0.006107623740076784,0.011978272224368997,10.315032958984375,250.1828931472888,-0.6147110457788187,-3.1701734679876017,212.3943023681641,AAPL
2025-05-01,212.3943023681641,213.62891164873253,207.9934696463897,208.1726964341785,57365700.0,209.00620596749442,199.84281194777716,0.003858872869008989,0.008344794555561941,18.967330932617216,152.7072226958858,0.02297685662983895,-2.5315434030641137,204.4588928222656,AAPL
2025-05-02,204.4588928222656,206.0917754590827,201.2827333487594,205.19567188008236,101010600.0,209.1128867013114,198.96378653390067,-0.03736168747193258,0.01754270925238485,8.333694458007784,378.3318043562027,-0.11069608225702154,-2.0473739389026955,198.02691650390625,AAPL
2025-05-05,198.02691650390625,203.21431440062256,197.34987465543003,202.2186538992821,69018500.0,207.7644784109933,198.7599131266276,-0.0314585305122953,0.019177460144956332,5.705123901367216,-630.0305663213296,-0.727256226926329,-1.7833503965074224,197.64854431152344,AAPL
2025-05-06,197.64854431152344,199.77925700053615,196.165020010421,197.3498583398735,51216500.0,206.23258100237166,199.24019877115884,-0.0019107109228524433,0.018727739759777068,-1.2246856689453125,-630.022586705509,-1.2322118857954933,-1.6731226943650368,195.39837646484372,AAPL
2025-05-07,195.39837646484372,198.574535944944,192.41139491378885,198.3057033514284,68536700.0,204.25690569196428,199.9414280482701,-0.011384692229926663,0.018048705061284764,-8.313751220703153,1155.0511617827099,-1.793290684521594,-1.6971562923963481,196.6330108642578,AAPL
2025-05-08,196.6330108642578,199.1818994852005,193.8351919089676,196.862008540768,50478900.0,202.30541338239397,201.1300579252697,0.006318549937574414,0.018220043775950007,-10.832763671875,4195.86838942311,-2.1139566210686382,-1.7805163581308063,197.66847229003903,AAPL
2025-05-09,197.66847229003903,199.6697443694255,196.6827629534363,198.1364339272832,36453900.0,200.318359375,201.11488560267858,0.005265959267114262,0.018103017179625647,-10.703353881835966,417.8781392694073,-2.258499031736079,-1.876112892851861,210.15049743652344,AAPL
2025-05-12,210.15049743652344,210.6290521628615,206.1227607044075,210.32995926202443,63775800.0,199.99781581333704,202.09378197079613,0.0631462620309502,0.033080988539862494,0.922393798828125,250.70961090131252,-1.350289523773256,-1.77094821903614,212.28399658203125,AAPL
2025-05-13,212.28399658203125,212.75257189298435,208.36592688565327,209.79158118866215,51909300.0,201.11568777901786,202.80777631487166,0.01015224408951143,0.029014436109187372,1.99053955078125,298.27561653784744,-0.4531477891319753,-1.5073881330553074,211.6858062744141,AAPL
2025-05-14,211.6858062744141,213.2909222465589,209.9411156617564,211.78549375335476,49325800.0,203.06695774623327,203.28609357561385,-0.002817877547288461,0.02457561264675434,0.10795593261721592,516.9190494785998,0.20718622673581422,-1.1644732610970832,210.80848693847656,AAPL
2025-05-15,210.80848693847656,212.3139155435744,208.90427796298636,210.310003869238,45029500.0,204.9469495500837,203.7406492687407,-0.004144441006121324,0.02476713763458149,-1.5858154296875284,858.0634859007218,0.6521952525205847,-0.8011395583735496,210.6190643310547,AAPL
2025-05-16,210.6190643310547,211.92510277199543,209.1335944967917,211.71573318604425,54737900.0,207.121333530971,204.55932035900298,-0.000898553042967154,0.023581807463468066,6.160171508789091,1441.5805524474017,0.9783059877710798,-0.44525044914462375,208.14659118652344,AAPL
2025-05-19,208.14659118652344,208.84446444770492,203.64029993754312,207.27923550566183,46140500.0,208.76613071986608,205.13176763625373,-0.011739075721298287,0.025117361680883268,10.119674682617188,-884.3806193451207,1.0254227404660128,-0.15111581122249648,206.232421875,AAPL
2025-05-20,206.232421875,207.83753801206535,204.40797196423648,207.03996203611737,42496600.0,209.9895520891462,205.79417855398995,-0.009196255872420789,0.025999671709710945,8.583877563476562,-331.16282920089867,0.8979545789463543,0.0586982668112737,201.47689819335935,AAPL
2025-05-21,201.47689819335935,206.4118779017609,200.10109516487896,204.54755595275296,59211800.0,208.7504664829799,205.9181627546038,-0.02305904977696982,0.01028461936715778,6.078521728515625,-154.6669871960614,0.4084952461268472,0.1286576626743884,200.7491149902344,AAPL
2025-05-22,200.7491149902344,202.13489740214877,199.0941474443519,200.1010930441042,46742400.0,207.10262625558036,205.77706691196985,-0.003612241451258047,0.00767625004910177,4.116104125976591,-455.1652654612536,-0.03769628434994843,0.09538687326952106,194.67758178710935,AAPL
2025-05-23,194.67758178710935,197.10020219746903,192.8730755135501,193.0824298832746,78432900.0,204.6728799002511,205.16810535249255,-0.030244383410708453,0.01094090830953357,-2.9908905029296875,-504.14848156280675,-0.8711857870030144,-0.09792765878498604,199.60260009765625,AAPL
2025-05-27,199.60260009765625,200.1309909415137,196.83102019804124,197.6983910952664,56288500.0,203.07203892299108,204.75052315848214,0.02529833309688767,0.017863058782672258,-10.547897338867188,1116.1727614183892,-1.1213976314083425,-0.30262165330965735,199.81195068359372,AAPL
2025-05-28,199.81195068359372,202.11494001836,199.2935240345892,199.98143310081724,45339700.0,201.52816554478235,204.30213492257255,0.0010488369682311038,0.01800011214979396,-12.472045898437528,498.91511782276854,-1.2879527604100076,-0.4996878747297274,199.34336853027344,AAPL
2025-05-29,199.34336853027344,203.19165828241367,197.90773491315443,202.96236033905296,51396800.0,200.27056230817522,203.78070213681175,-0.0023451157536732437,0.017969172491461436,-12.342437744140653,766.8860414578941,-1.441146919175793,-0.6879796836189406,200.24066162109372,AAPL
2025-05-30,200.24066162109372,201.3472946799051,196.18300200128655,198.7651407343476,70819900.0,199.41459655761716,203.24083600725447,0.004501243745582695,0.018307712246881668,-10.567825317382841,802.7086509541973,-1.4731685700045887,-0.8450174608960702,201.08807373046875,AAPL
2025-06-02,201.08807373046875,201.51677709467236,199.51286535414476,199.6723835925692,35423300.0,199.35905020577565,202.7024441673642,0.004231968185255841,0.016392922332099265,-9.530990600585938,-99.44992128503236,-1.413868685774986,-0.9587877058718535,202.6533203125,AAPL
2025-06-03,202.6533203125,203.1518034040851,200.3503308633764,200.73914706631285,46381600.0,199.63107953752788,202.61646452404204,0.007783885702387527,0.016558009573580546,-5.4932708740234375,-87.68149237272561,-1.2264332236578355,-1.01231680942905,202.2046813964844,AAPL
2025-06-04,202.2046813964844,205.6143037964219,201.48686455307688,202.29440469878628,43604000.0,200.70637948172433,202.8154057094029,-0.002213824650510454,0.009492557755029024,-4.027740478515597,-89.06454442307535,-1.1013944905284632,-1.0301323456489326,200.0213165283203,AAPL
2025-06-05,200.0213165283203,204.12881205428332,199.54276184010465,202.8826044104843,55126100.0,200.76619611467635,202.9283948625837,-0.010797795842732882,0.0061394278459425975,-1.455581665039034,-78.28114656240629,-1.1650497233943042,-1.057115821198007,203.3013458251953,AAPL
2025-06-06,203.3013458251953,205.07594444547604,201.43702389784912,202.38413874603316,46607700.0,201.26468113490515,203.30472673688615,0.016398398699723593,0.00866617750591275,2.552230834960909,-160.21865238732715,-0.9399903781863941,-1.0336907325956843,200.8388214111328,AAPL
2025-06-09,200.8388214111328,205.3750202901374,199.41316716451476,203.7699042317972,72862600.0,201.4783172607422,203.5050034295945,-0.012112681320761376,0.010224201304905478,6.161239624023466,-160.43677258509734,-0.9493903843084297,-1.0168306629382335,202.0551300048828,AAPL
