Date,Close,High,Low,Open,Volume,MA_7,MA_21,Return,Volatility,Momentum,RSI,MACD,Signal,Target,Stock,Avg_Sentiment
2026-01-02,270.75665283203125,277.5802543100492,268.7485221479618,272.0054842546519,37838100.0,272.4992980957031,275.00267246791293,-0.0031265238798289,0.0039693110210223,-0.8292236328124432,-82.33717408709657,-0.2889774979876165,0.445861060457267,267.0101623535156,AAPL,0.0
2026-01-05,267.0101623535156,271.25618925068443,265.89121426121545,270.38700744645297,45647200.0,271.7714102608817,274.19913882300966,-0.0138371132872581,0.0059068987311176,-4.925384521484375,-50.181835317075866,-0.7405236292169093,0.2085841225224318,262.1147155761719,AAPL,0.0
2026-01-06,262.1147155761719,267.2998660934885,261.8749496989937,266.7503924619391,52352100.0,270.13722446986606,273.32662091936385,-0.0183343088300222,0.0071915007007102,-11.299468994140623,-47.064191086247206,-1.4763800432818923,-0.1284087106384331,260.08660888671875,AAPL,0.0
2026-01-07,260.08660888671875,263.4334831315393,259.5671060011504,262.95395138764474,48309800.0,268.2718244280134,272.44886997767856,-0.0077374774056275,0.006912808985023,-10.63006591796875,-35.2242828723613,-2.197867168636378,-0.5423004022380221,258.7978515625,AAPL,0.0
2026-01-08,258.7978515625,259.0476178563403,255.4609622909548,256.7797203952787,50419300.0,266.17093331473217,271.55209059942337,-0.0049551083377001,0.0060097862080466,-13.307525634765623,-39.29715204826354,-2.840894792214897,-1.0020192802333971,259.1275329589844,AAPL,0.0
2026-01-09,259.1275329589844,259.9667440583015,255.98048371428257,258.8377955175017,39997000.0,264.21419416155135,270.70478893461683,0.0012738954148727,0.0066973972299447,-14.426483154296877,-39.07975591682492,-3.286017123308,-1.4588188488483178,260.0067138671875,AAPL,0.0
2026-01-12,260.0067138671875,261.05572011368304,256.5599267903311,258.9177364764393,45263800.0,262.5571768624442,269.823233468192,0.0033928502238405,0.0078188645373988,-13.1376953125,-32.861409035453505,-3.527178112275749,-1.872490701533804,260.8059387207031,AAPL,0.0
2026-01-13,260.8059387207031,261.56523797230057,258.148452318208,258.4781303943212,45730800.0,261.1356462751116,269.01541718982514,0.0030738623692765,0.0085414576723869,-12.698150634765623,-52.51989961663406,-3.612170316317304,-2.220426624490504,259.71697998046875,AAPL,0.0
2026-01-14,259.71697998046875,261.57525710051715,256.4700180914029,259.247418118488,40019400.0,260.09376307896207,268.1438511439732,-0.0041753602144793,0.0076686641902458,-13.10772705078125,-30.80629546512688,-3.724463819373568,-2.521234063467117,257.9685974121094,AAPL,0.0
2026-01-15,257.9685974121094,260.7959687899761,256.8096782083212,260.40631875644857,39388600.0,259.501460484096,267.38741629464283,-0.0067318762465621,0.0047227402029729,-13.637237548828123,-15.192195855516816,-3.909471141245433,-2.7988814790227803,255.29112243652344,AAPL,0.0
